clip_id,speaker_id,corruption,severity,seed,clean_rms_db,corrupted_rms_db,clean_peak_dbfs,corrupted_peak_dbfs,snr_db,log_mel_distance
1272-128104-0003,spk_1272,additive_noise,mild,55350,-22.9591,-22.9168,-4.1484,-4.377,20.0,9.967403
1272-128104-0003,spk_1272,additive_noise,medium,58612,-22.9591,-22.545,-4.1484,-4.0979,10.0,16.332167
1272-128104-0003,spk_1272,additive_noise,severe,55902,-22.9591,-19.9529,-4.1484,-2.7911,-0.0,24.246639
1272-128104-0003,spk_1272,clipping,mild,57903,-22.9591,-22.9592,-4.1484,-4.437,62.9015,0.004462
1272-128104-0003,spk_1272,clipping,medium,63037,-22.9591,-23.0967,-4.1484,-9.1186,24.2638,1.398543
1272-128104-0003,spk_1272,clipping,severe,58455,-22.9591,-24.9249,-4.1484,-16.4782,9.4236,6.810524
1272-128104-0003,spk_1272,bandwidth,mild,62966,-22.9591,-23.1592,-4.1484,-4.3361,13.7405,9.36675
1272-128104-0003,spk_1272,bandwidth,medium,58100,-22.9591,-23.1789,-4.1484,-4.3618,13.2067,11.46494
1272-128104-0003,spk_1272,bandwidth,severe,53518,-22.9591,-23.2214,-4.1484,-4.4129,12.5507,17.961914
1272-128104-0003,spk_1272,dropout,mild,54438,-22.9591,-22.9881,-4.1484,-4.1484,21.7671,0.216628
1272-128104-0003,spk_1272,dropout,medium,61188,-22.9591,-23.0793,-4.1484,-4.1484,15.6398,0.930702
1272-128104-0003,spk_1272,dropout,severe,56606,-22.9591,-23.2309,-4.1484,-4.1484,12.1701,3.698239
1272-128104-0003,spk_1272,reverberation,mild,54193,-22.9591,-19.4499,-4.1484,0.0,-3.8679,5.683707
1272-128104-0003,spk_1272,reverberation,medium,55839,-22.9591,-19.1475,-4.1484,0.0,-5.0199,8.869186
1272-128104-0003,spk_1272,reverberation,severe,54745,-22.9591,-18.6215,-4.1484,0.0,-5.1895,12.73251
1272-128104-0004,spk_1272,additive_noise,mild,83890,-22.6288,-22.5867,-3.2681,-3.2314,20.0,10.610744
1272-128104-0004,spk_1272,additive_noise,medium,87152,-22.6288,-22.2103,-3.2681,-3.2935,10.0,17.093622
